Site name,Site,matches
Warren Reservoir (SAW),523737,Warren Reservoir
South Para Reservoir (SAW),523311,South Para Reservoir
Dandahra Ck at Gibraltar Range,557008,Dandahra Creek At Gibraltar Range
Moonee Creek (Moonee Creek),559078,Moonee Creek at Lima
South Creek at Bowraville,559068,South Creek At Bowraville
Taylors Arm at Upper Taylors Arm,559073,Taylors Arm At Upper Taylors Arm
Shoal Bay,561153,Shoal Bay
Moonan Bk at Moonan Brook,561041,Moonan Brook At Moonan Brook
Carrow Brook,561048,Carrow Brook
Lisarow,561125,Lisarow
Narara,561126,Narara
Wingecarribee R at Sheepwash Bridge,568234,Wingecarribee River At Sheepwash Bridge
Megalong Ck at Narrow Neck,563098,Megalong Creek At Narrow Neck
Werriberri Ck at Werombi,568214,Werriberri Ck At Werombi
Cattai Ck at Murphys Bridge,567117,Cattai Creek At Murphys Bridge
Eden Boat Harbour,569040,Boat Harbour
Coolmunda Dam TW,41137,Coolmunda Dam
Tycannah Ck at Horseshoe Lagoon,553003,Tycannah Creek At Horseshoe Lagoon
Moomin Ck at Moomin Plains,552004,Moomin Creek At Moomin Plains
Coolbaggie Ck at Rawsonville,565009,Coolbaggie Creek At Rawsonville
Gum Cowal Ck at Bifurcation,551015,Gum Cowal At Bifurcation
Willandra Ck at Road Bridge,549007,Willandra Creek At Road Bridge
Tarcutta Ck at Old Borambola,572012,Tarcutta Creek At Old Borambola
Billabong Ck at Walbundrie,574015,Billabong Creek At Walbundrie
Billabong Ck at Jerilderie,574014,Billabong Creek At Jerilderie
Forest Ck at Warriston Weir,574037,Forest Creek At Warriston Weir
Cuttaburra Channel at Turra,548017,Cuttaburra Channel At Turra
McMillan Strait at Paynesville,584018,Mcmillan Strait at Paynesville
Cunningham Arm at Bullock Island,584019,Cunningham Arm at Bullock Island
Bellview Ck U/S Bellview Reservoir,586270,Bellview Creek U/S Bellview Reservoir
Ruby Creek @ Arawata,585072,Ruby Creek at Arawata
Coalition Creek,586269,Coalition Creek
Stony Creek @ Meeniyan,585073,Stony Creek at Meeniyan
Mt Emu Ck at Guthries Bridge,589010,Mt Emu Creek at Guthries Bridge
Wando River at Wando Vale,590013,Wando River at Wando Vale
Burnt Ck at Wonwondah East,579011,Burnt Creek at Wonwondah East
Middle Creek at Rodborough,588030,Middle Creek at Rodborough
Creswick Creek at Clunes,588024,Creswick Creek at Clunes
Birch Creek at Smeaton,588027,Birch Creek at Smeaton
Hughes Ck at Tarcombe Road,588128,Hughes Creek at Tarcombe Road
Cudgewa Ck at Cudgewa North,582028,Cudgewa Creek at Cudgewa North
Fifteen Mile Ck at Glenrowan,82108,Fifteen Mile Creek at Glenrowan
Outer Harbour Tide *,533009,Outer Harbour
Clump Point Tide *,532002,Clump Point Tide Alert
Warrego R at Wallen *,544024,Wallen Wallen
Mornington Island Tide *,529020,Mornington Island
Scott Creek (SAW),523725,Scott Creek
Scott Creek (DEW),523775,Scott Creek
Millbrook Reservoir (SAW),523763,Millbrook Reservoir
Little Para Reservoir (SAW),523112,Little Para Reservoir
Wakefield R at Pt Wakefield R (DEW),521018,Light R At Pt Wakefield Rd (Dew)
Avon River at Northam Weir,510061,Avon River at Avon Weir
